,file_path,paragraph,sentence,entities,labels,position_start,position_end,has_terms,weight
29358,C:\Users\shweata\ethics_statement_corpus_1000\PMC8045748\sections\1_body\1_materials_and_methods\1_patients_and_ethics_state\1_p.xml,"This study included tumor  in situ fluid (TISF) and tumor samples from 10 patients who were diagnosed as glioma (WHO grade III or IV) and treated in Henan Provincial People’s Hospital (HPPH). All patients received surgical treatment with a reservoir implanted into the surgical cavity intraoperatively and TISF were collected after surgery. The retrospective study was approved by the institutional review board and ethics committee of HPPH (Zhengzhou, China). Written informed consent was signed by all patients and/or their legal representatives.","The retrospective study was approved by the institutional review board and ethics committee of HPPH (Zhengzhou, China).","Zhengzhou, China","GPE, GPE","101, 112","110, 117",ethics committee of ,1
29396,C:\Users\shweata\ethics_statement_corpus_1000\PMC8045748\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Institutional Review Board (IRB) and Ethics Committee of Henan Provincial People’s Hospital (Zhengzhou, China). All methods were carried out in accordance with the approved guidelines. Written informed consent was obtained from all patients. Written informed consent was obtained from the minor(s)’ legal guardian/next of kin for the publication of any potentially identifiable images or data included in this article.","The studies involving human participants were reviewed and approved by the Institutional Review Board (IRB) and Ethics Committee of Henan Provincial People’s Hospital (Zhengzhou, China).","the Institutional Review Board, Ethics Committee of Henan Provincial People’s Hospital, Zhengzhou, China","ORG, ORG, GPE, GPE","71, 112, 168, 179","101, 166, 177, 184",ethics committee of ,1
29610,C:\Users\shweata\ethics_statement_corpus_1000\PMC8047532\sections\1_body\2_materials_and_methods\1_study_design\1_p.xml,"Ethical permission for conduct of the study was provided by the Ethics Committee of The Sixth Affiliated Hospital of Sun Yat-sen University (Guangzhou, China). Patients presenting with an RVF who were surgically managed by perineal repair between May 2015 and May 2020 were included in the analysis. Patients were identified from a prospectively maintained database, crosschecked with operating theatre records of The Sixth Affiliated Hospital of Sun Yat-sen University (a university-affiliated 1383-bed tertiary referral centre, with 800 dedicated beds for coloproctology).","Ethical permission for conduct of the study was provided by the Ethics Committee of The Sixth Affiliated Hospital of Sun Yat-sen University (Guangzhou, China).","the Ethics Committee of The Sixth Affiliated Hospital of Sun Yat-sen University (Guangzhou, China","ORG, GPE","60, 152","150, 157",ethics committee of ,1
29722,C:\Users\shweata\ethics_statement_corpus_1000\PMC8049236\sections\1_body\1_material_and_methods\1_p.xml,"In a single academic center (Beaujon Hospital, APHP, France), from April 14 to April 24, 2020, we prospectively enrolled twenty-eight consecutive patients hospitalized for a PCR-confirmed COVID-19 on nasopharyngeal swabs associated with pneumonia. The study was approved by the Ethics Committee of Paris-Nord Val de Seine University Hospitals, and patients gave their written informed consent.","The study was approved by the Ethics Committee of Paris-Nord Val de Seine University Hospitals, and patients gave their written informed consent.","the Ethics Committee, Paris","ORG, GPE","26, 50","46, 55",ethics committee of ,1
29891,C:\Users\shweata\ethics_statement_corpus_1000\PMC8057740\sections\1_body\6_ethics_statement\1_p.xml,"This study was approved by the Ethics Committee of the Fifth People’s Hospital of Shanghai of Fudan University and Shanghai Jiao Tong University, and written informed consent was obtained from the patients before enrolment when their data were collected.","This study was approved by the Ethics Committee of the Fifth People’s Hospital of Shanghai of Fudan University and Shanghai Jiao Tong University, and written informed consent was obtained from the patients before enrolment when their data were collected.","the Ethics Committee, the Fifth People’s Hospital of Shanghai of Fudan University, Shanghai","ORG, ORG, GPE","27, 51, 115","47, 110, 123",ethics committee of ,1
29908,C:\Users\shweata\ethics_statement_corpus_1000\PMC8057824\sections\1_body\1_methods\4_ethics\1_p.xml,"The study was conducted in accordance with the declaration of Helsinki, the ethical approval for the study was granted by the Ethics Committee of The First Affiliated Hospital at the School of Medicine of Zhejiang University, and the Ethics Committee approved participants under the age of 18 providing informed consent on their own behalf. The objectives, potential risks and benefits of the study were provided to potential participants during recruitment. All the participants completed the consent statement before the study by themself. Those who were confirmed to have syphilis were enrolled in a syphilis follow-up management system and a cohort study.","The study was conducted in accordance with the declaration of Helsinki, the ethical approval for the study was granted by the Ethics Committee of The First Affiliated Hospital at the School of Medicine of Zhejiang University, and the Ethics Committee approved participants under the age of 18 providing informed consent on their own behalf.","Helsinki, the Ethics Committee of The First Affiliated Hospital, the School of Medicine of Zhejiang University, the Ethics Committee","GPE, ORG, ORG, ORG","62, 122, 179, 230","70, 175, 224, 250",ethics committee of ,1
30013,C:\Users\shweata\ethics_statement_corpus_1000\PMC8058678\sections\1_body\2_materials_and_methods\6_ethics_approval_\1_p.xml,Ethics approval was obtained from the Ethics Committee of Guangzhou Women and Children’s Medical Center.,Ethics approval was obtained from the Ethics Committee of Guangzhou Women and Children’s Medical Center.,"the Ethics Committee of, Guangzhou, Children’s Medical Center","ORG, GPE, ORG","34, 58, 78","57, 67, 103",ethics committee of ,1
30042,C:\Users\shweata\ethics_statement_corpus_1000\PMC8058682\sections\1_body\2_materials_and_methods\1_patients_\1_p.xml,"The study protocol was reviewed and approved by the Ethics Committee of Daping Hospital, Army Medical University 2019, No. 183, and all patients who agreed to participate in the study signed an informed consent. ","The study protocol was reviewed and approved by the Ethics Committee of Daping Hospital, Army Medical University 2019, No.","the Ethics Committee of Daping Hospital, Army Medical University","ORG, ORG","48, 89","87, 112",ethics committee of ,1
30100,C:\Users\shweata\ethics_statement_corpus_1000\PMC8058686\sections\1_body\2_materials_and_methods\1_cases_and_histological_re\1_p.xml,The study was conducted in accordance with the ethical guidelines of the Declaration of Helsinki and was approved by the Ethics Committee of Bengbu Medical College. All patients provided written informed consent. A retrospective analysis was conducted on four patients who had pathologically proven SCPFTs at First Affiliated Hospital of Bengbu Medical College from 2015 to 2018. The clinical information and follow-up data were directly obtained from the hospital records and patients themselves. The routine hematoxylin–eosin staining and immunohistochemical sections were obtained from the Department of Pathology archives and reviewed by two experienced soft-tissue pathologists. ,The study was conducted in accordance with the ethical guidelines of the Declaration of Helsinki and was approved by the Ethics Committee of Bengbu Medical College.,the Ethics Committee of Bengbu Medical College,ORG,117,163,ethics committee of ,1
30494,C:\Users\shweata\ethics_statement_corpus_1000\PMC8062072\sections\1_body\1_methods\7_ethics_statement\1_p.xml,"The study was reviewed and approved by the Research and Ethics committee of the School of Public Health, Addis Ababa University, and registered with number prv/154/10. The health authorities of the research sites provided permission for the study. An official letter of permission was provided to the administrative office of each of the selected palliative care centers. Before data collection, the study participants were informed about the purpose of the study and that their decision about participation would not influence the care they received.","The study was reviewed and approved by the Research and Ethics committee of the School of Public Health, Addis Ababa University, and registered with number prv/154/10.","the Research and Ethics, the School of Public Health, Addis Ababa University, prv/154/10","ORG, ORG, ORG, GPE","39, 76, 105, 156","62, 103, 127, 166",ethics committee of ,1
