,file_path,paragraph,sentence,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
69,C:\Users\shweata\docanalysis\terpene_fig\PMC8623621\sections\4_floats-group\3_fig.xml,"Figure 4Box plots of the total VOCs levels in each chemical class that were detected in Sugar Belle leaves following infestation with Diaphorina citri and the influence of rootstock: (A) total VOC content, (B) monoterpenes, (C) terpene alcohols, (D) sesquiterpenes, (E) aldehydes, (F) fatty acids and their methyl esters, (G) other compounds, and (H) unknowns. Refer to Table 1 for the VOC classifications. The horizontal thick lines indicate the medians, the black/white dots indicate the means, the boxes show the interquartile ranges including 25–75% of the values, and the whiskers reflect the highest and the lowest value of data. T-test p-values less than 0.05 are significantly different.","Figure 4Box plots of the total VOCs levels in each chemical class that were detected in Sugar Belle leaves following infestation with Diaphorina citri and the influence of rootstock: (A) total VOC content, (B) monoterpenes, (C) terpene alcohols, (D) sesquiterpenes, (E) aldehydes, (F) fatty acids and their methyl esters, (G) other compounds, and (H) unknowns.","4Box, VOCs, VOC, monoterpenes, methyl esters, H","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","7, 31, 193, 210, 307, 348","11, 35, 196, 222, 320, 349",,,,
70,C:\Users\shweata\docanalysis\terpene_fig\PMC8623621\sections\4_floats-group\3_fig.xml,"Figure 4Box plots of the total VOCs levels in each chemical class that were detected in Sugar Belle leaves following infestation with Diaphorina citri and the influence of rootstock: (A) total VOC content, (B) monoterpenes, (C) terpene alcohols, (D) sesquiterpenes, (E) aldehydes, (F) fatty acids and their methyl esters, (G) other compounds, and (H) unknowns. Refer to Table 1 for the VOC classifications. The horizontal thick lines indicate the medians, the black/white dots indicate the means, the boxes show the interquartile ranges including 25–75% of the values, and the whiskers reflect the highest and the lowest value of data. T-test p-values less than 0.05 are significantly different.",Refer to Table 1 for the VOC classifications.,VOC,CHEMICAL,25,28,,,,
71,C:\Users\shweata\docanalysis\terpene_fig\PMC8623621\sections\4_floats-group\3_fig.xml,"Figure 4Box plots of the total VOCs levels in each chemical class that were detected in Sugar Belle leaves following infestation with Diaphorina citri and the influence of rootstock: (A) total VOC content, (B) monoterpenes, (C) terpene alcohols, (D) sesquiterpenes, (E) aldehydes, (F) fatty acids and their methyl esters, (G) other compounds, and (H) unknowns. Refer to Table 1 for the VOC classifications. The horizontal thick lines indicate the medians, the black/white dots indicate the means, the boxes show the interquartile ranges including 25–75% of the values, and the whiskers reflect the highest and the lowest value of data. T-test p-values less than 0.05 are significantly different.","The horizontal thick lines indicate the medians, the black/white dots indicate the means, the boxes show the interquartile ranges including 25–75% of the values, and the whiskers reflect the highest and the lowest value of data.",black/white dots,CHEMICAL,53,69,,,,
73,C:\Users\shweata\docanalysis\terpene_fig\PMC8625326\sections\4_floats-group\0_fig.xml,"Figure 1The proposed evolution of genome structure of conifer terpene synthase. AgAS: Abies grandis abietadiene synthase 26; AgLimS: A. glauca limonene synthase 27; TcTPS5: T. cryptomerioides longifolene synthase 25. The genome structures were illustrated based on published research 19, and the location of the active motif (DDxxD) was marked.",Figure 1The proposed evolution of genome structure of conifer terpene synthase.,conifer terpene,CHEMICAL,54,69,,,,
74,C:\Users\shweata\docanalysis\terpene_fig\PMC8625326\sections\4_floats-group\0_fig.xml,"Figure 1The proposed evolution of genome structure of conifer terpene synthase. AgAS: Abies grandis abietadiene synthase 26; AgLimS: A. glauca limonene synthase 27; TcTPS5: T. cryptomerioides longifolene synthase 25. The genome structures were illustrated based on published research 19, and the location of the active motif (DDxxD) was marked.",AgAS: Abies grandis abietadiene synthase 26; AgLimS: A. glauca limonene synthase 27; TcTPS5: T. cryptomerioides longifolene synthase 25.,"grandis abietadiene, A. glauca limonene, cryptomerioides longifolene","CHEMICAL, DISEASE, CHEMICAL","12, 55, 100","31, 73, 127",,,,
76,C:\Users\shweata\docanalysis\terpene_fig\PMC8625326\sections\4_floats-group\1_fig.xml,"Figure 2Phylogenetic analysis of selected terpene synthases. Each branch was colored according to its function and species orientation. Green: diterpene synthases; blue: tri-domain sesquiterpene from gymnosperms, deep blue: mono-/sesquiterpene synthases from angiosperms; pink: sesquiterpene from gymnosperms; orange: monoterpene synthases from gymnosperms. The Cupressaceae-associated subgroups are marked with a colored background.",Figure 2Phylogenetic analysis of selected terpene synthases.,terpene,CHEMICAL,42,49,,,,
78,C:\Users\shweata\docanalysis\terpene_fig\PMC8625326\sections\4_floats-group\1_fig.xml,"Figure 2Phylogenetic analysis of selected terpene synthases. Each branch was colored according to its function and species orientation. Green: diterpene synthases; blue: tri-domain sesquiterpene from gymnosperms, deep blue: mono-/sesquiterpene synthases from angiosperms; pink: sesquiterpene from gymnosperms; orange: monoterpene synthases from gymnosperms. The Cupressaceae-associated subgroups are marked with a colored background.","Green: diterpene synthases; blue: tri-domain sesquiterpene from gymnosperms, deep blue: mono-/sesquiterpene synthases from angiosperms; pink: sesquiterpene from gymnosperms; orange: monoterpene synthases from gymnosperms.","Green: diterpene synthases, blue, blue, mono-/sesquiterpene","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","0, 28, 82, 88","26, 32, 86, 107",,,,
80,C:\Users\shweata\docanalysis\terpene_fig\PMC8625326\sections\4_floats-group\2_fig.xml,Figure 3GC-MS analysis of the enzymatic products of TcTPS13 and TcTPS14 and comparison with the geraniol standard.,Figure 3GC-MS analysis of the enzymatic products of TcTPS13 and TcTPS14 and comparison with the geraniol standard.,"TcTPS13, TcTPS14, geraniol","CHEMICAL, CHEMICAL, CHEMICAL","52, 64, 96","59, 71, 104",,,,
83,C:\Users\shweata\docanalysis\terpene_fig\PMC8625326\sections\4_floats-group\4_fig.xml,Figure 5The protein structure of TcTPS13 (model template ID: 2onh.1. A) and catalytic residue alignment. Helixes A to K and their related locations are illustrated in the left panel. The full alignment is illustrated in Figure S1.,Figure 5The protein structure of TcTPS13 (model template ID: 2onh.1.,TcTPS13,CHEMICAL,33,40,,,,
85,C:\Users\shweata\docanalysis\terpene_fig\PMC8625326\sections\4_floats-group\4_fig.xml,Figure 5The protein structure of TcTPS13 (model template ID: 2onh.1. A) and catalytic residue alignment. Helixes A to K and their related locations are illustrated in the left panel. The full alignment is illustrated in Figure S1.,Helixes A to K and their related locations are illustrated in the left panel.,K,CHEMICAL,13,14,,,,
88,C:\Users\shweata\docanalysis\terpene_fig\PMC8625850\sections\4_floats-group\0_fig.xml,Figure 1Chemical structure of farnesol and geraniol.,Figure 1Chemical structure of farnesol and geraniol.,"farnesol, geraniol","CHEMICAL, CHEMICAL","30, 43","38, 51",,,,
89,C:\Users\shweata\docanalysis\terpene_fig\PMC8625850\sections\4_floats-group\1_fig.xml,"Figure 2Colistin MIC (mg/L) versus farnesol (top) or geraniol (bottom) concentrations (mg/L) measured for E. coli J53 (left) and the corresponding mcr-1 transconjugate E. coli J53_MCR-1 (right). The shaded area are the 90% credible intervals around the mean values (lines) obtained using the Emax model (1). (n = 3, notice that most of the points are overlayed).",Figure 2Colistin MIC (mg/L) versus farnesol (top) or geraniol (bottom) concentrations (mg/L) measured for E. coli J53 (left) and the corresponding mcr-1 transconjugate E. coli J53_MCR-1 (right).,"farnesol, geraniol, J53_MCR-1","CHEMICAL, CHEMICAL, CHEMICAL","35, 53, 176","43, 61, 185",,,,
92,C:\Users\shweata\docanalysis\terpene_fig\PMC8625850\sections\4_floats-group\2_fig.xml,"Figure 3Time-kill curves (n = 3–6) obtained for E. coli J53 (left panels) and E. coli J53_MCR-1 (right panels) in the presence of colistin base alone at a concentration of 1/8 of its MIC (empty square) or supplemented with FAR-loaded LNP at FAR concentrations of 10, 30, and 60 mg/L (Top plots–solid dots) or supplemented with GER-loaded LNP at GER concentrations of 60, 100, and 200 mg/L (bottom plots–solid dots). Terpene alcohol effect controls were made using the terpene alcohol-loaded LNP alone in the presence of the highest terpene concentration tested (empty triangles). The dotted horizontal line represents the limit of quantification of the bacteria concentration.","Figure 3Time-kill curves (n = 3–6) obtained for E. coli J53 (left panels) and E. coli J53_MCR-1 (right panels) in the presence of colistin base alone at a concentration of 1/8 of its MIC (empty square) or supplemented with FAR-loaded LNP at FAR concentrations of 10, 30, and 60 mg/L (Top plots–solid dots) or supplemented with GER-loaded LNP at GER concentrations of 60, 100, and 200 mg/L (bottom plots–solid dots).","J53_MCR-1, colistin, GER","CHEMICAL, CHEMICAL, DISEASE","86, 130, 345","95, 138, 348",,,,
93,C:\Users\shweata\docanalysis\terpene_fig\PMC8625850\sections\4_floats-group\2_fig.xml,"Figure 3Time-kill curves (n = 3–6) obtained for E. coli J53 (left panels) and E. coli J53_MCR-1 (right panels) in the presence of colistin base alone at a concentration of 1/8 of its MIC (empty square) or supplemented with FAR-loaded LNP at FAR concentrations of 10, 30, and 60 mg/L (Top plots–solid dots) or supplemented with GER-loaded LNP at GER concentrations of 60, 100, and 200 mg/L (bottom plots–solid dots). Terpene alcohol effect controls were made using the terpene alcohol-loaded LNP alone in the presence of the highest terpene concentration tested (empty triangles). The dotted horizontal line represents the limit of quantification of the bacteria concentration.",Terpene alcohol effect controls were made using the terpene alcohol-loaded LNP alone in the presence of the highest terpene concentration tested (empty triangles).,"Terpene alcohol, terpene, terpene","CHEMICAL, CHEMICAL, CHEMICAL","0, 52, 116","15, 59, 123",,,,
95,C:\Users\shweata\docanalysis\terpene_fig\PMC8625850\sections\4_floats-group\3_fig.xml,"Figure 4Relative propidium iodate (PI) uptake rate by E. coli J53 (left panels) and E. coli J53 MCR-1 (right panels) measured as a function of colistin concentration alone (black circles) or in the presence of 30 mg/L of farnesol (top-blue circles) or 90 mg/L of geraniol (bottom-blue circles). Uptake rates were normalized against the highest uptake rate measured in the presence of colistin alone at 32 mg/L. When the data described a complete sigmoidal shape, they were analyzed using the Emax equation (Equation (2)). The shaded area are the 90% credible intervals around the mean values (lines). (4 ≤ n ≤ 20).",Figure 4Relative propidium iodate (PI) uptake rate by E. coli J53 (left panels) and E. coli J53 MCR-1 (right panels) measured as a function of colistin concentration alone (black circles) or in the presence of 30 mg/L of farnesol (top-blue circles) or 90 mg/L of geraniol (bottom-blue circles).,"Figure 4Relative propidium iodate, colistin, farnesol, geraniol, bottom-blue","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","0, 143, 221, 263, 273","33, 151, 229, 271, 284",PI,propidium iodate,5,6
96,C:\Users\shweata\docanalysis\terpene_fig\PMC8625850\sections\4_floats-group\3_fig.xml,"Figure 4Relative propidium iodate (PI) uptake rate by E. coli J53 (left panels) and E. coli J53 MCR-1 (right panels) measured as a function of colistin concentration alone (black circles) or in the presence of 30 mg/L of farnesol (top-blue circles) or 90 mg/L of geraniol (bottom-blue circles). Uptake rates were normalized against the highest uptake rate measured in the presence of colistin alone at 32 mg/L. When the data described a complete sigmoidal shape, they were analyzed using the Emax equation (Equation (2)). The shaded area are the 90% credible intervals around the mean values (lines). (4 ≤ n ≤ 20).",Uptake rates were normalized against the highest uptake rate measured in the presence of colistin alone at 32 mg/L.,colistin,CHEMICAL,89,97,,,,
99,C:\Users\shweata\docanalysis\terpene_fig\PMC8625850\sections\4_floats-group\3_fig.xml,"Figure 4Relative propidium iodate (PI) uptake rate by E. coli J53 (left panels) and E. coli J53 MCR-1 (right panels) measured as a function of colistin concentration alone (black circles) or in the presence of 30 mg/L of farnesol (top-blue circles) or 90 mg/L of geraniol (bottom-blue circles). Uptake rates were normalized against the highest uptake rate measured in the presence of colistin alone at 32 mg/L. When the data described a complete sigmoidal shape, they were analyzed using the Emax equation (Equation (2)). The shaded area are the 90% credible intervals around the mean values (lines). (4 ≤ n ≤ 20).",(4 ≤ n ≤ 20).,"(4 ≤, ≤","CHEMICAL, CHEMICAL","0, 7","4, 8",,,,
100,C:\Users\shweata\docanalysis\terpene_fig\PMC8701039\sections\3_back\7_schemes\10_fig.xml,"genes-12-01974-sch010_Scheme 10Scheme 10Use of various yeasts to access lycopene, geranylgeraniol, and α-farnesene involving the TMP in conjunction with native or engineered MVA pathway.","genes-12-01974-sch010_Scheme 10Scheme 10Use of various yeasts to access lycopene, geranylgeraniol, and α-farnesene involving the TMP in conjunction with native or engineered MVA pathway.","genes-12-01974-sch010_Scheme 10Scheme 10Use of various, lycopene, geranylgeraniol, α-farnesene, TMP","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","0, 72, 82, 103, 129","54, 80, 97, 114, 132",,,,
101,C:\Users\shweata\docanalysis\terpene_fig\PMC8701039\sections\3_back\7_schemes\1_fig.xml,"genes-12-01974-sch001_Scheme 1Scheme 1Simplified biosynthetic scheme of terpene biosynthesis with a special focus put on taxol biosynthesis. It should be noted that, in plants, diterpenoids (such as taxol) arise mainly from the plastidial MEP pathway.",genes-12-01974-sch001_Scheme 1Scheme 1Simplified biosynthetic scheme of terpene biosynthesis with a special focus put on taxol biosynthesis.,"terpene, taxol","CHEMICAL, CHEMICAL","72, 121","79, 126",,,,
